n,x,monthly_payment,monthly_return,profit_after_yrs,5yrs,10yrs,20yrs,40yrs
2.17,1.2,2880.0,3985.0,1.57,164220.0,403320.0,881520.0,1837920.0
2.17,1.3,3120.0,3995.83,1.69,158629.8,398379.6,877879.2,1836878.4
2.17,1.4000000000000001,3360.0000000000005,4006.67,1.82,153040.2,393440.4,874240.8,1835841.6
2.17,1.5000000000000002,3600.0000000000005,4017.5,1.94,147450.0,388500.0,870600.0,1834800.0
2.17,1.6000000000000003,3840.000000000001,4028.33,2.07,141859.8,383559.6,866959.2,1833758.4
2.17,1.7000000000000004,4080.000000000001,4039.17,2.19,136270.2,378620.4,863320.8,1832721.6
2.17,1.8000000000000005,4320.000000000001,4050.0,2.31,130680.0,373680.0,859680.0,1831680.0
2.17,1.9000000000000006,4560.000000000002,4060.83,2.43,125089.8,368739.6,856039.2,1830638.4
2.17,2.0000000000000004,4800.000000000001,4071.67,2.55,119500.2,363800.4,852400.8,1829601.6
2.17,2.1000000000000005,5040.000000000001,4082.5,2.67,113910.0,358860.0,848760.0,1828560.0
2.17,2.2000000000000006,5280.000000000002,4093.33,2.79,108319.8,353919.6,845119.2,1827518.4
2.17,2.3000000000000007,5520.000000000002,4104.17,2.91,102730.2,348980.4,841480.8,1826481.6
2.17,2.400000000000001,5760.000000000002,4115.0,3.03,97140.0,344040.0,837840.0,1825440.0
2.17,2.500000000000001,6000.000000000002,4125.83,3.15,91549.8,339099.6,834199.2,1824398.4
2.17,2.600000000000001,6240.000000000003,4136.67,3.27,85960.2,334160.4,830560.8,1823361.6
2.17,2.700000000000001,6480.000000000003,4147.5,3.39,80370.0,329220.0,826920.0,1822320.0
2.17,2.800000000000001,6720.000000000003,4158.33,3.5,74779.8,324279.6,823279.2,1821278.4
2.17,2.9000000000000012,6960.000000000003,4169.17,3.62,69190.2,319340.4,819640.8,1820241.6
2.17,3.0000000000000013,7200.000000000004,4180.0,3.73,63600.0,314400.0,816000.0,1819200.0
2.25,0.6,1440.0,3930.77,0.82,196966.2,432812.4,904504.8,1847889.6
2.25,0.7,1680.0,3942.02,0.96,191161.2,427682.4,900724.8,1846809.6
2.25,0.7999999999999999,1919.9999999999998,3953.27,1.09,185356.2,422552.4,896944.8,1845729.6
2.25,0.8999999999999999,2160.0,3964.52,1.23,179551.2,417422.4,893164.8,1844649.6
2.25,0.9999999999999999,2399.9999999999995,3975.77,1.36,173746.2,412292.4,889384.8,1843569.6
2.25,1.0999999999999999,2639.9999999999995,3987.02,1.49,167941.2,407162.4,885604.8,1842489.6
2.25,1.2,2880.0,3998.27,1.62,162136.2,402032.4,881824.8,1841409.6
2.25,1.3,3120.0,4009.52,1.75,156331.2,396902.4,878044.8,1840329.6
2.25,1.4000000000000001,3360.0000000000005,4020.77,1.88,150526.2,391772.4,874264.8,1839249.6
2.25,1.5000000000000002,3600.0000000000005,4032.02,2.01,144721.2,386642.4,870484.8,1838169.6
2.25,1.6000000000000003,3840.000000000001,4043.27,2.14,138916.2,381512.4,866704.8,1837089.6
2.25,1.7000000000000004,4080.000000000001,4054.52,2.26,133111.2,376382.4,862924.8,1836009.6
2.25,1.8000000000000005,4320.000000000001,4065.77,2.39,127306.2,371252.4,859144.8,1834929.6
2.25,1.9000000000000006,4560.000000000002,4077.02,2.52,121501.2,366122.4,855364.8,1833849.6
2.25,2.0000000000000004,4800.000000000001,4088.27,2.64,115696.2,360992.4,851584.8,1832769.6
2.25,2.1000000000000005,5040.000000000001,4099.52,2.77,109891.2,355862.4,847804.8,1831689.6
2.25,2.2000000000000006,5280.000000000002,4110.77,2.89,104086.2,350732.4,844024.8,1830609.6
2.25,2.3000000000000007,5520.000000000002,4122.02,3.01,98281.2,345602.4,840244.8,1829529.6
2.25,2.400000000000001,5760.000000000002,4133.27,3.14,92476.2,340472.4,836464.8,1828449.6
2.25,2.500000000000001,6000.000000000002,4144.52,3.26,86671.2,335342.4,832684.8,1827369.6
2.25,2.600000000000001,6240.000000000003,4155.77,3.38,80866.2,330212.4,828904.8,1826289.6
2.25,2.700000000000001,6480.000000000003,4167.02,3.5,75061.2,325082.4,825124.8,1825209.6
2.25,2.800000000000001,6720.000000000003,4178.27,3.62,69256.2,319952.4,821344.8,1824129.6
2.25,2.9000000000000012,6960.000000000003,4189.52,3.74,63451.2,314822.4,817564.8,1823049.6
2.25,3.0000000000000013,7200.000000000004,4200.77,3.86,57646.2,309692.4,813784.8,1821969.6
2.33,0.6,1440.0,3941.54,0.85,196172.4,432664.8,905649.6,1851619.2
2.33,0.7,1680.0,3953.21,0.99,190152.6,427345.2,901730.4,1850500.8
2.33,0.7999999999999999,1919.9999999999998,3964.87,1.13,184132.2,422024.4,897808.8,1849377.6
2.33,0.8999999999999999,2160.0,3976.54,1.27,178112.4,416704.8,893889.6,1848259.2
2.33,0.9999999999999999,2399.9999999999995,3988.21,1.4,172092.6,411385.2,889970.4,1847140.8
2.33,1.0999999999999999,2639.9999999999995,3999.87,1.54,166072.2,406064.4,886048.8,1846017.6
2.33,1.2,2880.0,4011.54,1.68,160052.4,400744.8,882129.6,1844899.2
2.33,1.3,3120.0,4023.21,1.81,154032.6,395425.2,878210.4,1843780.8
2.33,1.4000000000000001,3360.0000000000005,4034.87,1.94,148012.2,390104.4,874288.8,1842657.6
2.33,1.5000000000000002,3600.0000000000005,4046.54,2.08,141992.4,384784.8,870369.6,1841539.2
2.33,1.6000000000000003,3840.000000000001,4058.21,2.21,135972.6,379465.2,866450.4,1840420.8
2.33,1.7000000000000004,4080.000000000001,4069.87,2.34,129952.2,374144.4,862528.8,1839297.6
2.33,1.8000000000000005,4320.000000000001,4081.54,2.47,123932.4,368824.8,858609.6,1838179.2
2.33,1.9000000000000006,4560.000000000002,4093.21,2.6,117912.6,363505.2,854690.4,1837060.8
2.33,2.0000000000000004,4800.000000000001,4104.87,2.73,111892.2,358184.4,850768.8,1835937.6
2.33,2.1000000000000005,5040.000000000001,4116.54,2.86,105872.4,352864.8,846849.6,1834819.2
2.33,2.2000000000000006,5280.000000000002,4128.21,2.98,99852.6,347545.2,842930.4,1833700.8
2.33,2.3000000000000007,5520.000000000002,4139.87,3.11,93832.2,342224.4,839008.8,1832577.6
2.33,2.400000000000001,5760.000000000002,4151.54,3.24,87812.4,336904.8,835089.6,1831459.2
2.33,2.500000000000001,6000.000000000002,4163.21,3.36,81792.6,331585.2,831170.4,1830340.8
2.33,2.600000000000001,6240.000000000003,4174.87,3.49,75772.2,326264.4,827248.8,1829217.6
2.33,2.700000000000001,6480.000000000003,4186.54,3.61,69752.4,320944.8,823329.6,1828099.2
2.33,2.800000000000001,6720.000000000003,4198.21,3.73,63732.6,315625.2,819410.4,1826980.8
2.33,2.9000000000000012,6960.000000000003,4209.87,3.86,57712.2,310304.4,815488.8,1825857.6
2.33,3.0000000000000013,7200.000000000004,4221.54,3.98,51692.4,304984.8,811569.6,1824739.2
2.42,0.6,1440.0,3952.31,0.88,195378.6,432517.2,906794.4,1855348.8
2.42,0.7,1680.0,3964.39,1.02,189143.4,427006.8,902733.6,1854187.2
2.42,0.7999999999999999,1919.9999999999998,3976.47,1.17,182908.2,421496.4,898672.8,1853025.6
2.42,0.8999999999999999,2160.0,3988.56,1.31,176673.6,415987.2,894614.4,1851868.8
2.42,0.9999999999999999,2399.9999999999995,4000.64,1.45,170438.4,410476.8,890553.6,1850707.2
2.42,1.0999999999999999,2639.9999999999995,4012.72,1.59,164203.2,404966.4,886492.8,1849545.6
2.42,1.2,2880.0,4024.81,1.73,157968.6,399457.2,882434.4,1848388.8
2.42,1.3,3120.0,4036.89,1.87,151733.4,393946.8,878373.6,1847227.2
2.42,1.4000000000000001,3360.0000000000005,4048.97,2.01,145498.2,388436.4,874312.8,1846065.6
2.42,1.5000000000000002,3600.0000000000005,4061.06,2.14,139263.6,382927.2,870254.4,1844908.8
2.42,1.6000000000000003,3840.000000000001,4073.14,2.28,133028.4,377416.8,866193.6,1843747.2
2.42,1.7000000000000004,4080.000000000001,4085.22,2.41,126793.2,371906.4,862132.8,1842585.6
2.42,1.8000000000000005,4320.000000000001,4097.31,2.55,120558.6,366397.2,858074.4,1841428.8
2.42,1.9000000000000006,4560.000000000002,4109.39,2.68,114323.4,360886.8,854013.6,1840267.2
2.42,2.0000000000000004,4800.000000000001,4121.47,2.81,108088.2,355376.4,849952.8,1839105.6
2.42,2.1000000000000005,5040.000000000001,4133.56,2.95,101853.6,349867.2,845894.4,1837948.8
2.42,2.2000000000000006,5280.000000000002,4145.64,3.08,95618.4,344356.8,841833.6,1836787.2
2.42,2.3000000000000007,5520.000000000002,4157.72,3.21,89383.2,338846.4,837772.8,1835625.6
2.42,2.400000000000001,5760.000000000002,4169.81,3.34,83148.6,333337.2,833714.4,1834468.8
2.42,2.500000000000001,6000.000000000002,4181.89,3.47,76913.4,327826.8,829653.6,1833307.2
2.42,2.600000000000001,6240.000000000003,4193.97,3.6,70678.2,322316.4,825592.8,1832145.6
2.42,2.700000000000001,6480.000000000003,4206.06,3.72,64443.6,316807.2,821534.4,1830988.8
2.42,2.800000000000001,6720.000000000003,4218.14,3.85,58208.4,311296.8,817473.6,1829827.2
2.42,2.9000000000000012,6960.000000000003,4230.22,3.98,51973.2,305786.4,813412.8,1828665.6
2.42,3.0000000000000013,7200.000000000004,4242.31,4.1,45738.6,300277.2,809354.4,1827508.8
2.5,0.6,1440.0,3963.08,0.91,194584.8,432369.6,907939.2,1859078.4
2.5,0.7,1680.0,3975.58,1.06,188134.8,426669.6,903739.2,1857878.4
2.5,0.7999999999999999,1919.9999999999998,3988.08,1.2,181684.8,420969.6,899539.2,1856678.4
2.5,0.8999999999999999,2160.0,4000.58,1.35,175234.8,415269.6,895339.2,1855478.4
2.5,0.9999999999999999,2399.9999999999995,4013.08,1.5,168784.8,409569.6,891139.2,1854278.4
2.5,1.0999999999999999,2639.9999999999995,4025.58,1.64,162334.8,403869.6,886939.2,1853078.4
2.5,1.2,2880.0,4038.08,1.78,155884.8,398169.6,882739.2,1851878.4
2.5,1.3,3120.0,4050.58,1.93,149434.8,392469.6,878539.2,1850678.4
2.5,1.4000000000000001,3360.0000000000005,4063.08,2.07,142984.8,386769.6,874339.2,1849478.4
2.5,1.5000000000000002,3600.0000000000005,4075.58,2.21,136534.8,381069.6,870139.2,1848278.4
2.5,1.6000000000000003,3840.000000000001,4088.08,2.35,130084.8,375369.6,865939.2,1847078.4
2.5,1.7000000000000004,4080.000000000001,4100.58,2.49,123634.8,369669.6,861739.2,1845878.4
2.5,1.8000000000000005,4320.000000000001,4113.08,2.63,117184.8,363969.6,857539.2,1844678.4
2.5,1.9000000000000006,4560.000000000002,4125.58,2.76,110734.8,358269.6,853339.2,1843478.4
2.5,2.0000000000000004,4800.000000000001,4138.08,2.9,104284.8,352569.6,849139.2,1842278.4
2.5,2.1000000000000005,5040.000000000001,4150.58,3.04,97834.8,346869.6,844939.2,1841078.4
2.5,2.2000000000000006,5280.000000000002,4163.08,3.17,91384.8,341169.6,840739.2,1839878.4
2.5,2.3000000000000007,5520.000000000002,4175.58,3.3,84934.8,335469.6,836539.2,1838678.4
2.5,2.400000000000001,5760.000000000002,4188.08,3.44,78484.8,329769.6,832339.2,1837478.4
2.5,2.500000000000001,6000.000000000002,4200.58,3.57,72034.8,324069.6,828139.2,1836278.4
2.5,2.600000000000001,6240.000000000003,4213.08,3.7,65584.8,318369.6,823939.2,1835078.4
2.5,2.700000000000001,6480.000000000003,4225.58,3.83,59134.8,312669.6,819739.2,1833878.4
2.5,2.800000000000001,6720.000000000003,4238.08,3.96,52684.8,306969.6,815539.2,1832678.4
2.5,2.9000000000000012,6960.000000000003,4250.58,4.09,46234.8,301269.6,811339.2,1831478.4
2.5,3.0000000000000013,7200.000000000004,4263.08,4.22,39784.8,295569.6,807139.2,1830278.4
2.58,0.6,1440.0,3973.85,0.94,193791.0,432222.0,909084.0,1862808.0
2.58,0.7,1680.0,3986.76,1.09,187125.6,426331.2,904742.4,1861564.8
2.58,0.7999999999999999,1919.9999999999998,3999.68,1.24,180460.8,420441.6,900403.2,1860326.4
2.58,0.8999999999999999,2160.0,4012.6,1.39,173796.0,414552.0,896064.0,1859088.0
2.58,0.9999999999999999,2399.9999999999995,4025.51,1.54,167130.6,408661.2,891722.4,1857844.8
2.58,1.0999999999999999,2639.9999999999995,4038.43,1.69,160465.8,402771.6,887383.2,1856606.4
2.58,1.2,2880.0,4051.35,1.84,153801.0,396882.0,883044.0,1855368.0
2.58,1.3,3120.0,4064.26,1.98,147135.6,390991.2,878702.4,1854124.8
2.58,1.4000000000000001,3360.0000000000005,4077.18,2.13,140470.8,385101.6,874363.2,1852886.4
2.58,1.5000000000000002,3600.0000000000005,4090.1,2.27,133806.0,379212.0,870024.0,1851648.0
2.58,1.6000000000000003,3840.000000000001,4103.01,2.42,127140.6,373321.2,865682.4,1850404.8
2.58,1.7000000000000004,4080.000000000001,4115.93,2.56,120475.8,367431.6,861343.2,1849166.4
2.58,1.8000000000000005,4320.000000000001,4128.85,2.7,113811.0,361542.0,857004.0,1847928.0
2.58,1.9000000000000006,4560.000000000002,4141.76,2.84,107145.6,355651.2,852662.4,1846684.8
2.58,2.0000000000000004,4800.000000000001,4154.68,2.98,100480.8,349761.6,848323.2,1845446.4
2.58,2.1000000000000005,5040.000000000001,4167.6,3.12,93816.0,343872.0,843984.0,1844208.0
2.58,2.2000000000000006,5280.000000000002,4180.51,3.26,87150.6,337981.2,839642.4,1842964.8
2.58,2.3000000000000007,5520.000000000002,4193.43,3.4,80485.8,332091.6,835303.2,1841726.4
2.58,2.400000000000001,5760.000000000002,4206.35,3.54,73821.0,326202.0,830964.0,1840488.0
2.58,2.500000000000001,6000.000000000002,4219.26,3.67,67155.6,320311.2,826622.4,1839244.8
2.58,2.600000000000001,6240.000000000003,4232.18,3.81,60490.8,314421.6,822283.2,1838006.4
2.58,2.700000000000001,6480.000000000003,4245.1,3.94,53826.0,308532.0,817944.0,1836768.0
2.58,2.800000000000001,6720.000000000003,4258.01,4.08,47160.6,302641.2,813602.4,1835524.8
2.58,2.9000000000000012,6960.000000000003,4270.93,4.21,40495.8,296751.6,809263.2,1834286.4
2.58,3.0000000000000013,7200.000000000004,4283.85,4.34,33831.0,290862.0,804924.0,1833048.0
2.67,0.6,1440.0,3984.62,0.96,192997.2,432074.4,910228.8,1866537.6
2.67,0.7,1680.0,3997.95,1.12,186117.0,425994.0,905748.0,1865256.0
2.67,0.7999999999999999,1919.9999999999998,4011.28,1.28,179236.8,419913.6,901267.2,1863974.4
2.67,0.8999999999999999,2160.0,4024.62,1.43,172357.2,413834.4,896788.8,1862697.6
2.67,0.9999999999999999,2399.9999999999995,4037.95,1.58,165477.0,407754.0,892308.0,1861416.0
2.67,1.0999999999999999,2639.9999999999995,4051.28,1.74,158596.8,401673.6,887827.2,1860134.4
2.67,1.2,2880.0,4064.62,1.89,151717.2,395594.4,883348.8,1858857.6
2.67,1.3,3120.0,4077.95,2.04,144837.0,389514.0,878868.0,1857576.0
2.67,1.4000000000000001,3360.0000000000005,4091.28,2.19,137956.8,383433.6,874387.2,1856294.4
2.67,1.5000000000000002,3600.0000000000005,4104.62,2.34,131077.2,377354.4,869908.8,1855017.6
2.67,1.6000000000000003,3840.000000000001,4117.95,2.49,124197.0,371274.0,865428.0,1853736.0
2.67,1.7000000000000004,4080.000000000001,4131.28,2.63,117316.8,365193.6,860947.2,1852454.4
2.67,1.8000000000000005,4320.000000000001,4144.62,2.78,110437.2,359114.4,856468.8,1851177.6
2.67,1.9000000000000006,4560.000000000002,4157.95,2.92,103557.0,353034.0,851988.0,1849896.0
2.67,2.0000000000000004,4800.000000000001,4171.28,3.07,96676.8,346953.6,847507.2,1848614.4
2.67,2.1000000000000005,5040.000000000001,4184.62,3.21,89797.2,340874.4,843028.8,1847337.6
2.67,2.2000000000000006,5280.000000000002,4197.95,3.35,82917.0,334794.0,838548.0,1846056.0
2.67,2.3000000000000007,5520.000000000002,4211.28,3.5,76036.8,328713.6,834067.2,1844774.4
2.67,2.400000000000001,5760.000000000002,4224.62,3.64,69157.2,322634.4,829588.8,1843497.6
2.67,2.500000000000001,6000.000000000002,4237.95,3.78,62277.0,316554.0,825108.0,1842216.0
2.67,2.600000000000001,6240.000000000003,4251.28,3.91,55396.8,310473.6,820627.2,1840934.4
2.67,2.700000000000001,6480.000000000003,4264.62,4.05,48517.2,304394.4,816148.8,1839657.6
2.67,2.800000000000001,6720.000000000003,4277.95,4.19,41637.0,298314.0,811668.0,1838376.0
2.67,2.9000000000000012,6960.000000000003,4291.28,4.33,34756.8,292233.6,807187.2,1837094.4
2.67,3.0000000000000013,7200.000000000004,4304.62,4.46,27877.2,286154.4,802708.8,1835817.6
2.75,0.6,1440.0,3995.38,0.99,192202.8,431925.6,911371.2,1870262.4
2.75,0.7,1680.0,4009.13,1.15,185107.8,425655.6,906751.2,1868942.4
2.75,0.7999999999999999,1919.9999999999998,4022.88,1.31,178012.8,419385.6,902131.2,1867622.4
2.75,0.8999999999999999,2160.0,4036.63,1.47,170917.8,413115.6,897511.2,1866302.4
2.75,0.9999999999999999,2399.9999999999995,4050.38,1.63,163822.8,406845.6,892891.2,1864982.4
2.75,1.0999999999999999,2639.9999999999995,4064.13,1.79,156727.8,400575.6,888271.2,1863662.4
2.75,1.2,2880.0,4077.88,1.94,149632.8,394305.6,883651.2,1862342.4
2.75,1.3,3120.0,4091.63,2.1,142537.8,388035.6,879031.2,1861022.4
2.75,1.4000000000000001,3360.0000000000005,4105.38,2.25,135442.8,381765.6,874411.2,1859702.4
2.75,1.5000000000000002,3600.0000000000005,4119.13,2.4,128347.8,375495.6,869791.2,1858382.4
2.75,1.6000000000000003,3840.000000000001,4132.88,2.56,121252.8,369225.6,865171.2,1857062.4
2.75,1.7000000000000004,4080.000000000001,4146.63,2.71,114157.8,362955.6,860551.2,1855742.4
2.75,1.8000000000000005,4320.000000000001,4160.38,2.86,107062.8,356685.6,855931.2,1854422.4
2.75,1.9000000000000006,4560.000000000002,4174.13,3.0,99967.8,350415.6,851311.2,1853102.4
2.75,2.0000000000000004,4800.000000000001,4187.88,3.15,92872.8,344145.6,846691.2,1851782.4
2.75,2.1000000000000005,5040.000000000001,4201.63,3.3,85777.8,337875.6,842071.2,1850462.4
2.75,2.2000000000000006,5280.000000000002,4215.38,3.44,78682.8,331605.6,837451.2,1849142.4
2.75,2.3000000000000007,5520.000000000002,4229.13,3.59,71587.8,325335.6,832831.2,1847822.4
2.75,2.400000000000001,5760.000000000002,4242.88,3.73,64492.8,319065.6,828211.2,1846502.4
2.75,2.500000000000001,6000.000000000002,4256.63,3.88,57397.8,312795.6,823591.2,1845182.4
2.75,2.600000000000001,6240.000000000003,4270.38,4.02,50302.8,306525.6,818971.2,1843862.4
2.75,2.700000000000001,6480.000000000003,4284.13,4.16,43207.8,300255.6,814351.2,1842542.4
2.75,2.800000000000001,6720.000000000003,4297.88,4.3,36112.8,293985.6,809731.2,1841222.4
2.75,2.9000000000000012,6960.000000000003,4311.63,4.44,29017.8,287715.6,805111.2,1839902.4
2.75,3.0000000000000013,7200.000000000004,4325.38,4.58,21922.8,281445.6,800491.2,1838582.4
2.83,0.6,1440.0,4006.15,1.02,191409.0,431778.0,912516.0,1873992.0
2.83,0.7,1680.0,4020.32,1.18,184099.2,425318.4,907756.8,1872633.6
2.83,0.7999999999999999,1919.9999999999998,4034.49,1.35,176789.4,418858.8,902997.6,1871275.2
2.83,0.8999999999999999,2160.0,4048.65,1.51,169479.0,412398.0,898236.0,1869912.0
2.83,0.9999999999999999,2399.9999999999995,4062.82,1.67,162169.2,405938.4,893476.8,1868553.6
2.83,1.0999999999999999,2639.9999999999995,4076.99,1.83,154859.4,399478.8,888717.6,1867195.2
2.83,1.2,2880.0,4091.15,1.99,147549.0,393018.0,883956.0,1865832.0
2.83,1.3,3120.0,4105.32,2.15,140239.2,386558.4,879196.8,1864473.6
2.83,1.4000000000000001,3360.0000000000005,4119.49,2.31,132929.4,380098.8,874437.6,1863115.2
2.83,1.5000000000000002,3600.0000000000005,4133.65,2.47,125619.0,373638.0,869676.0,1861752.0
2.83,1.6000000000000003,3840.000000000001,4147.82,2.62,118309.2,367178.4,864916.8,1860393.6
2.83,1.7000000000000004,4080.000000000001,4161.99,2.78,110999.4,360718.8,860157.6,1859035.2
